,Date2,Av_level,Area
426,10/31/2019,-13.36089424,
427,11/1/2019,,2715.205733
428,11/2/2019,,
429,11/3/2019,,
430,11/4/2019,,
431,11/5/2019,,
432,11/6/2019,,
433,11/7/2019,,
434,11/8/2019,,
435,11/9/2019,,
436,11/10/2019,,
437,11/11/2019,,
438,11/12/2019,,
439,11/13/2019,,
440,11/14/2019,,
441,11/15/2019,,
442,11/16/2019,,
443,11/17/2019,,
444,11/18/2019,,
445,11/19/2019,,
446,11/20/2019,,
447,11/21/2019,,
448,11/22/2019,,
449,11/23/2019,,
450,11/24/2019,,
451,11/25/2019,,
452,11/26/2019,,
453,11/27/2019,,
454,11/28/2019,-13.5996028,
455,11/29/2019,-13.32706495,
456,11/30/2019,,
457,12/1/2019,,2334.157314
458,12/2/2019,,
459,12/3/2019,,
460,12/4/2019,,
461,12/5/2019,,
462,12/6/2019,,
463,12/7/2019,,
464,12/8/2019,,
465,12/9/2019,,
466,12/10/2019,,
467,12/11/2019,,
468,12/12/2019,,
469,12/13/2019,,
470,12/14/2019,,
471,12/15/2019,,
472,12/16/2019,,
473,12/17/2019,,
474,12/18/2019,,
475,12/19/2019,,
476,12/20/2019,,
477,12/21/2019,,
478,12/22/2019,,
479,12/23/2019,,
480,12/24/2019,,
481,12/25/2019,,
482,12/26/2019,,
483,12/27/2019,-14.81121456,
484,12/28/2019,-12.89803605,
485,12/29/2019,,
486,12/30/2019,,
487,12/31/2019,,
488,1/1/2020,-17.04112163,2348.783952
489,1/2/2020,,
490,1/3/2020,,
491,1/4/2020,,
492,1/5/2020,,
493,1/6/2020,,
494,1/7/2020,,
495,1/8/2020,,
496,1/9/2020,,
497,1/10/2020,,
498,1/11/2020,,
499,1/12/2020,,
500,1/13/2020,,
501,1/14/2020,,
502,1/15/2020,,
503,1/16/2020,,
504,1/17/2020,,
505,1/18/2020,,
506,1/19/2020,,
507,1/20/2020,,
508,1/21/2020,,
509,1/22/2020,,
510,1/23/2020,,
511,1/24/2020,,
512,1/25/2020,-14.41220647,
513,1/26/2020,,
514,1/27/2020,,
515,1/28/2020,,
516,1/29/2020,-18.04071341,
517,1/30/2020,-16.35619506,
518,1/31/2020,,
519,2/1/2020,,2869.605395
520,2/2/2020,,
521,2/3/2020,,
522,2/4/2020,,
523,2/5/2020,,
524,2/6/2020,,
525,2/7/2020,,
526,2/8/2020,,
527,2/9/2020,,
528,2/10/2020,,
529,2/11/2020,,
530,2/12/2020,,
531,2/13/2020,,
532,2/14/2020,,
533,2/15/2020,,
534,2/16/2020,,
535,2/17/2020,,
536,2/18/2020,,
537,2/19/2020,,
538,2/20/2020,,
539,2/21/2020,,
540,2/22/2020,,
541,2/23/2020,-12.91217413,
542,2/24/2020,,
543,2/25/2020,,
544,2/26/2020,,
545,2/27/2020,-17.22180251,
546,2/28/2020,-15.15386028,
547,2/29/2020,,
548,3/1/2020,,2904.915253
549,3/2/2020,,2401.990595
550,3/3/2020,,
551,3/4/2020,,
552,3/5/2020,,
553,3/6/2020,,
554,3/7/2020,,
555,3/8/2020,,
556,3/9/2020,,
557,3/10/2020,,
558,3/11/2020,,
559,3/12/2020,,
560,3/13/2020,,
561,3/14/2020,,
562,3/15/2020,,
563,3/16/2020,,
564,3/17/2020,,
565,3/18/2020,,
566,3/19/2020,,
567,3/20/2020,,
568,3/21/2020,,
569,3/22/2020,,
570,3/23/2020,,
571,3/24/2020,,
572,3/25/2020,,
573,3/26/2020,,
574,3/27/2020,-15.43770594,
575,3/28/2020,-14.82368297,
576,3/29/2020,,
577,3/30/2020,,
578,3/31/2020,,
579,4/1/2020,,
