"","Date2","Av_level","Area"
"282","6/9/2019",NA,NA
"283","6/10/2019",NA,NA
"284","6/11/2019",NA,NA
"285","6/12/2019",NA,NA
"286","6/13/2019",NA,NA
"287","6/14/2019",NA,NA
"288","6/15/2019",NA,NA
"289","6/16/2019",NA,NA
"290","6/17/2019",NA,NA
"291","6/18/2019",NA,NA
"292","6/19/2019",NA,NA
"293","6/20/2019",NA,NA
"294","6/21/2019",NA,NA
"295","6/22/2019",NA,NA
"296","6/23/2019",NA,NA
"297","6/24/2019",NA,NA
"298","6/25/2019",NA,NA
"299","6/26/2019",NA,NA
"300","6/27/2019",NA,NA
"301","6/28/2019",NA,NA
"302","6/29/2019",NA,NA
"303","6/30/2019",NA,NA
"304","7/1/2019",NA,2294.466438
"305","7/2/2019",NA,NA
"306","7/3/2019",NA,NA
"307","7/4/2019",NA,NA
"308","7/5/2019",NA,NA
"309","7/6/2019",NA,NA
"310","7/7/2019",NA,NA
"311","7/8/2019",NA,NA
"312","7/9/2019",NA,NA
"313","7/10/2019",NA,NA
"314","7/11/2019",NA,NA
"315","7/12/2019",NA,NA
"316","7/13/2019",NA,NA
"317","7/14/2019",NA,NA
"318","7/15/2019",NA,NA
"319","7/16/2019",NA,NA
"320","7/17/2019",NA,NA
"321","7/18/2019",NA,NA
"322","7/19/2019",NA,NA
"323","7/20/2019",NA,NA
"324","7/21/2019",NA,NA
"325","7/22/2019",NA,NA
"326","7/23/2019",NA,NA
"327","7/24/2019",NA,NA
"328","7/25/2019",NA,NA
"329","7/26/2019",NA,NA
"330","7/27/2019",NA,NA
"331","7/28/2019",-14.21914668,NA
"332","7/29/2019",NA,NA
"333","7/30/2019",NA,NA
"334","7/31/2019",NA,NA
"335","8/1/2019",-18.18097518,NA
"336","8/2/2019",NA,NA
"337","8/3/2019",NA,NA
"338","8/4/2019",NA,NA
"339","8/5/2019",NA,NA
"340","8/6/2019",NA,NA
"341","8/7/2019",NA,NA
"342","8/8/2019",NA,NA
"343","8/9/2019",NA,NA
"344","8/10/2019",NA,NA
"345","8/11/2019",NA,NA
"346","8/12/2019",NA,NA
"347","8/13/2019",NA,NA
"348","8/14/2019",NA,NA
"349","8/15/2019",NA,NA
"350","8/16/2019",NA,NA
"351","8/17/2019",NA,NA
"352","8/18/2019",NA,NA
"353","8/19/2019",NA,NA
"354","8/20/2019",NA,NA
"355","8/21/2019",NA,NA
"356","8/22/2019",NA,NA
"357","8/23/2019",NA,NA
"358","8/24/2019",NA,NA
"359","8/25/2019",NA,NA
"360","8/26/2019",NA,NA
"361","8/27/2019",NA,NA
"362","8/28/2019",NA,NA
"363","8/29/2019",-15.61858622,NA
"364","8/30/2019",-14.75624217,NA
"365","8/31/2019",NA,NA
"366","9/1/2019",NA,3291.718026
"367","9/2/2019",NA,NA
"368","9/3/2019",NA,NA
"369","9/4/2019",NA,NA
"370","9/5/2019",NA,NA
"371","9/6/2019",NA,NA
"372","9/7/2019",NA,NA
"373","9/8/2019",NA,NA
"374","9/9/2019",NA,NA
"375","9/10/2019",NA,NA
"376","9/11/2019",NA,NA
"377","9/12/2019",NA,NA
"378","9/13/2019",NA,NA
"379","9/14/2019",NA,NA
"380","9/15/2019",NA,NA
"381","9/16/2019",NA,NA
"382","9/17/2019",NA,NA
"383","9/18/2019",NA,NA
"384","9/19/2019",NA,NA
"385","9/20/2019",NA,NA
"386","9/21/2019",NA,NA
"387","9/22/2019",NA,NA
"388","9/23/2019",NA,NA
"389","9/24/2019",NA,NA
"390","9/25/2019",NA,NA
